"CO2 emissions by fuel in India",Value,Year,Units
"Coal",571.514,2000, Mt CO2
"Coal",585.166,2001, Mt CO2
"Coal",601.898,2002, Mt CO2
"Coal",611.919,2003, Mt CO2
"Coal",671.836,2004, Mt CO2
"Coal",709.838,2005, Mt CO2
"Coal",757.748,2006, Mt CO2
"Coal",838.499,2007, Mt CO2
"Coal",925.421,2008, Mt CO2
"Coal",993.842,2009, Mt CO2
"Coal",1073.112,2010, Mt CO2
"Coal",1150.828,2011, Mt CO2
"Coal",1277.047,2012, Mt CO2
"Coal",1331.881,2013, Mt CO2
"Coal",1478.08,2014, Mt CO2
"Coal",1456.173,2015, Mt CO2
"Coal",1439.895,2016, Mt CO2
"Coal",1520.228,2017, Mt CO2
"Coal",1623.654,2018, Mt CO2
"Coal",1600.211,2019, Mt CO2
"Coal",1487.464,2020, Mt CO2
"Coal",1652.579,2021, Mt CO2
"Coal",1816.022,2022, Mt CO2
"Oil",277.359,2000, Mt CO2
"Oil",276.913,2001, Mt CO2
"Oil",285.952,2002, Mt CO2
"Oil",295.225,2003, Mt CO2
"Oil",303.51,2004, Mt CO2
"Oil",309.443,2005, Mt CO2
"Oil",334.618,2006, Mt CO2
"Oil",363.653,2007, Mt CO2
"Oil",386.506,2008, Mt CO2
"Oil",392.753,2009, Mt CO2
"Oil",408.037,2010, Mt CO2
"Oil",418.258,2011, Mt CO2
"Oil",446.04,2012, Mt CO2
"Oil",455.25,2013, Mt CO2
"Oil",480.412,2014, Mt CO2
"Oil",525.219,2015, Mt CO2
"Oil",556.853,2016, Mt CO2
"Oil",585.886,2017, Mt CO2
"Oil",589.443,2018, Mt CO2
"Oil",593.089,2019, Mt CO2
"Oil",533.811,2020, Mt CO2
"Oil",569.967,2021, Mt CO2
"Oil",608.166,2022, Mt CO2
"Natural gas",42.229,2000, Mt CO2
"Natural gas",44.004,2001, Mt CO2
"Natural gas",48.067,2002, Mt CO2
"Natural gas",53.082,2003, Mt CO2
"Natural gas",54.09,2004, Mt CO2
"Natural gas",56.832,2005, Mt CO2
"Natural gas",57.278,2006, Mt CO2
"Natural gas",65.467,2007, Mt CO2
"Natural gas",53.912,2008, Mt CO2
"Natural gas",73.427,2009, Mt CO2
"Natural gas",76.375,2010, Mt CO2
"Natural gas",87.211,2011, Mt CO2
"Natural gas",72.976,2012, Mt CO2
"Natural gas",61.77,2013, Mt CO2
"Natural gas",62.103,2014, Mt CO2
"Natural gas",70.907,2015, Mt CO2
"Natural gas",78.196,2016, Mt CO2
"Natural gas",84.949,2017, Mt CO2
"Natural gas",85.962,2018, Mt CO2
"Natural gas",93.146,2019, Mt CO2
"Natural gas",86.553,2020, Mt CO2
"Natural gas",98.763,2021, Mt CO2
"Natural gas",89.891,2022, Mt CO2
